,ID,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
0,1,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),2024-07-12 19:15:00,10h 35m,2024-07-12 05:50:00,3.8,800.00,10
1,2,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-12 22:30:00,10h 15m,2024-07-12 08:45:00,4.6,606.00,7
2,3,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),2024-07-12 21:00:00,11h 30m,2024-07-12 08:30:00,4.6,693.00,8
3,4,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),2024-07-12 21:00:00,10h 30m,2024-07-12 07:30:00,4.4,555.00,9
4,5,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),2024-07-12 20:30:00,11h 30m,2024-07-12 08:00:00,4.4,648.00,16
5,6,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-12 21:45:00,10h 50m,2024-07-12 08:35:00,4.5,498.00,13
6,7,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),2024-07-12 22:00:00,11h 30m,2024-07-12 09:30:00,4.5,647.00,13
7,8,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-12 23:00:00,11h 00m,2024-07-12 10:00:00,4.3,540.00,3
8,9,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),2024-07-12 21:15:00,10h 30m,2024-07-12 07:45:00,4.5,400.00,22
9,10,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Indumati Travels,A/C Sleeper (2+1),2024-07-12 22:20:00,10h 10m,2024-07-12 08:30:00,4.2,570.00,11
10,11,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),2024-07-12 20:00:00,11h 15m,2024-07-12 07:15:00,4.3,399.00,13
11,12,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),2024-07-12 20:30:00,10h 30m,2024-07-12 07:00:00,4.3,399.00,11
12,13,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Divine,NON A/C Sleeper (1+2),2024-07-12 19:45:00,11h 00m,2024-07-12 06:45:00,4.1,554.00,17
13,14,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),2024-07-12 21:00:00,10h 40m,2024-07-12 07:40:00,4.1,719.00,5
14,15,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),2024-07-12 22:05:00,09h 56m,2024-07-12 08:01:00,4.1,700.00,16
15,16,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,A/C Sleeper (2+1),2024-07-12 22:50:00,10h 40m,2024-07-12 09:30:00,4.0,1050.00,19
16,17,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),2024-07-12 21:45:00,11h 00m,2024-07-12 08:45:00,4.2,1020.00,6
17,18,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),2024-07-12 21:45:00,10h 45m,2024-07-12 08:30:00,3.9,545.00,10
18,19,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),2024-07-12 21:55:00,10h 25m,2024-07-12 08:20:00,3.9,600.00,6
19,20,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),2024-07-12 22:15:00,11h 15m,2024-07-12 09:30:00,4.2,1020.00,15
20,21,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),2024-07-12 23:05:00,10h 25m,2024-07-12 09:30:00,4.1,740.00,12
21,22,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),2024-07-12 20:15:00,10h 15m,2024-07-12 06:30:00,3.9,910.00,9
22,23,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),2024-07-12 21:35:00,10h 40m,2024-07-12 08:15:00,3.9,452.00,11
23,24,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),2024-07-12 22:30:00,11h 00m,2024-07-12 09:30:00,4.2,920.00,21
24,25,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray National Express,NON A/C Sleeper (2+1),2024-07-12 20:00:00,10h 45m,2024-07-12 06:45:00,4.2,554.00,14
25,26,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Rajdhani Travels Corporation,Volvo A/C Seater / Sleeper (2+1),2024-07-12 23:15:00,10h 20m,2024-07-12 09:35:00,4.0,699.00,17
26,27,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),2024-07-12 20:30:00,11h 00m,2024-07-12 07:30:00,3.3,350.00,21
27,28,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Prime,A/C Sleeper (2+1),2024-07-12 20:30:00,11h 00m,2024-07-12 07:30:00,3.8,699.00,16
28,29,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),2024-07-12 22:00:00,10h 00m,2024-07-12 08:00:00,4.8,700.00,16
29,30,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels,NON A/C Push Back (2+2),2024-07-12 21:25:00,09h 45m,2024-07-12 07:10:00,3.2,500.00,29
30,31,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),2024-07-12 22:45:00,10h 15m,2024-07-12 09:00:00,3.7,660.00,19
31,32,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (39),A/C Sleeper (2+1),2024-07-12 22:30:00,10h 45m,2024-07-12 09:15:00,3.1,660.00,16
32,33,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin travel house,A/C Sleeper (2+1),2024-07-12 23:45:00,11h 00m,2024-07-12 10:45:00,2.9,660.00,19
33,34,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Manish Travels,NON A/C Hi-Tech (2+2),2024-07-12 21:00:00,10h 30m,2024-07-12 07:30:00,2.4,463.00,27
34,35,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,A/C Sleeper (2+1),2024-07-12 22:15:00,10h 45m,2024-07-12 09:00:00,3.4,1050.00,19
35,36,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),2024-07-12 23:25:00,09h 45m,2024-07-12 09:10:00,3.6,650.00,25
36,37,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),2024-07-12 20:30:00,11h 00m,2024-07-12 07:30:00,3.4,350.00,20
37,38,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Travels,NON A/C Sleeper (2+1),2024-07-12 21:30:00,12h 00m,2024-07-12 09:30:00,3.4,549.00,15
38,39,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),2024-07-12 23:10:00,09h 45m,2024-07-12 08:55:00,3.2,599.00,23
39,40,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Hans Travels (I) Private Limited,A/C Sleeper (2+1),2024-07-12 23:59:00,12h 15m,2024-07-12 12:14:00,2.4,1000.00,24
40,41,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KOKAN TOURS & TRAVELS,NON A/C Seater Push Back (2+2),2024-07-12 21:00:00,11h 45m,2024-07-12 08:45:00,3.0,3000.00,27
41,42,KTCL,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,VRL Travels,A/C Sleeper (2+1),2024-07-12 23:30:00,10h 15m,2024-07-12 09:45:00,3.2,800.00,16
