,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
0,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0002,Shatabdi AC Seater 2+2,2024-07-17 00:25:00,05h 35m,2024-07-17 06:00:00,4.1,598,18
1,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0080,Ordinary Non AC Seater 2+3,2024-07-17 00:35:00,07h 25m,2024-07-17 08:00:00,3.3,450,52
2,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRT0037,Ordinary Non AC Seater 2+3,2024-07-17 01:25:00,06h 35m,2024-07-17 08:00:00,3.3,449,52
3,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0043,Shatabdi AC Seater 2+2,2024-07-17 06:00:00,05h 30m,2024-07-17 11:30:00,2.6,598,37
4,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0150,Janrath AC Seater 2+2,2024-07-17 07:05:00,04h 40m,2024-07-17 11:45:00,3.3,598,36
5,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,2024-07-17 07:30:00,05h 00m,2024-07-17 12:30:00,3.3,448,52
6,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,2024-07-17 08:00:00,05h 30m,2024-07-17 13:30:00,3.3,448,52
7,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0133,Janrath AC Seater 2+2,2024-07-17 08:15:00,05h 30m,2024-07-17 13:45:00,3.4,598,31
8,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - PLB0055,Rajdhani Non AC Seater 2+3,2024-07-17 08:30:00,05h 59m,2024-07-17 14:29:00,3.3,454,51
9,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0108,Janrath AC Seater 2+2,2024-07-17 09:02:00,04h 43m,2024-07-17 13:45:00,3.3,598,36
10,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0071,Shatabdi AC Seater 2+2,2024-07-17 09:32:00,05h 28m,2024-07-17 15:00:00,3.3,598,37
11,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0053,Ordinary Non AC Seater 2+3,2024-07-17 10:00:00,05h 30m,2024-07-17 15:30:00,3.3,448,52
12,UPSRTC,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0110,Shatabdi AC Seater 2+2,2024-07-17 10:01:00,05h 00m,2024-07-17 15:01:00,4.3,598,37
